# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CY43_02750	CY43_02750	AHX76325	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02755	CY43_02755	AHX76326	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_02760	CY43_02760	AHX76327	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02770	CY43_02770	AHX76329	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02845	CY43_02845	AHX76341	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02850	CY43_02850	AHX76342	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02855	CY43_02855	AHX76343	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02860	CY43_02860	AHX76344	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02865	CY43_02865	AHX76345	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02870	CY43_02870	AHX76346	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02875	CY43_02875	AHX76347	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02880	CY43_02880	AHX76348	protein_coding	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
CY43_02890	CY43_02890	AHX76349	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02895	CY43_02895	AHX76350	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02900	CY43_02900	AHX76351	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_02905	CY43_02905	AHX76352	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_02910	CY43_02910	AHX76353	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
CY43_02915	CY43_02915	AHX76354	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
CY43_02920	CY43_02920	AHX76355	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
CY43_02925	CY43_02925	AHX76356	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
CY43_02930	CY43_02930	AHX76357	protein_coding	0	0	1	4	0	4	0	1	0	0	0	0	0	0	0
CY43_02935	CY43_02935	AHX76358	protein_coding	0	2	2	1	0	0	0	2	0	0	0	0	0	2	1
CY43_02940	CY43_02940	AHX76359	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
CY43_02945	CY43_02945	AHX76360	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
CY43_02950	CY43_02950	AHX76361	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
CY43_02960	CY43_02960	AHX76363	protein_coding	0	0	0	6	0	5	0	0	0	0	0	0	0	0	1
CY43_02965	CY43_02965	AHX76364	protein_coding	0	0	0	5	0	4	0	0	0	0	0	0	0	0	1
CY43_02975	CY43_02975	AHX76366	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02980	CY43_02980	AHX76367	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02985	CY43_02985	AHX76368	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02990	CY43_02990	AHX76369	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_02995	CY43_02995	AHX76370	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CY43_03005	CY43_03005	AHX76372	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03010	CY43_03010	AHX76373	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03015	CY43_03015	AHX76374	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03030	CY43_03030	AHX76377	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_03035	CY43_03035	AHX76378	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03040	CY43_03040	AHX76379	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03045	CY43_03045	AHX76380	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03050	CY43_03050	CY43_03050-1	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03055	CY43_03055	AHX76381	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03060	CY43_03060	AHX76382	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03070	CY43_03070	AHX76383	protein_coding	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2
CY43_03075	CY43_03075	AHX76384	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
CY43_03080	CY43_03080	AHX76385	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03090	CY43_03090	AHX76386	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03095	CY43_03095	AHX76387	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03100	CY43_03100	AHX76388	protein_coding	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
CY43_03105	CY43_03105	AHX76389	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_03110	CY43_03110	AHX76390	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_03115	CY43_03115	AHX76391	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03120	CY43_03120	AHX76392	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03125	CY43_03125	AHX76393	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03215	CY43_03215	AHX76410	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03220	CY43_03220	AHX76411	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03230	CY43_03230	AHX76413	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03235	CY43_03235	AHX76414	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03240	CY43_03240	AHX76415	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03245	CY43_03245	AHX76416	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03250	CY43_03250	AHX76417	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03255	CY43_03255	AHX76418	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03260	CY43_03260	AHX76419	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03270	CY43_03270	AHX76421	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03275	CY43_03275	AHX76422	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03280	CY43_03280	AHX76423	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03285	CY43_03285	AHX76424	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03290	CY43_03290	AHX76425	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03295	CY43_03295	AHX76426	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03570	CY43_03570	AHX76479	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03575	CY43_03575	AHX76480	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03580	CY43_03580	AHX76481	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03585	CY43_03585	AHX76482	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03590	CY43_03590	AHX76483	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03605	CY43_03605	AHX76486	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03610	CY43_03610	AHX76487	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03615	CY43_03615	AHX76488	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03650	CY43_03650	AHX76495	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03655	CY43_03655	CY43_03655-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03660	CY43_03660	CY43_03660-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03665	CY43_03665	CY43_03665-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03670	CY43_03670	CY43_03670-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03675	CY43_03675	CY43_03675-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03680	CY43_03680	CY43_03680-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03685	CY43_03685	CY43_03685-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03695	CY43_03695	AHX76497	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03700	CY43_03700	AHX76498	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_03715	CY43_03715	AHX76501	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03720	CY43_03720	AHX76502	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03730	CY43_03730	AHX76504	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03735	CY43_03735	AHX76505	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03745	CY43_03745	AHX76507	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03930	CY43_03930	AHX76539	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_03935	CY43_03935	AHX76540	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_03965	CY43_03965	AHX76546	protein_coding	0	0	0	3	0	2	0	0	0	0	0	0	0	0	1
CY43_03970	CY43_03970	AHX76547	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_03980	CY43_03980	AHX76549	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_03995	CY43_03995	AHX76550	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_04000	CY43_04000	AHX76551	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_04010	CY43_04010	AHX76552	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04015	CY43_04015	AHX76553	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04020	CY43_04020	AHX76554	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04025	CY43_04025	AHX76555	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_04030	CY43_04030	AHX76556	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_04045	CY43_04045	AHX76559	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04050	CY43_04050	AHX76560	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04055	CY43_04055	CY43_04055-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04060	CY43_04060	CY43_04060-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04065	CY43_04065	CY43_04065-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04070	CY43_04070	CY43_04070-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04075	CY43_04075	CY43_04075-1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04080	CY43_04080	AHX76561	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_04085	CY43_04085	AHX76562	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_04090	CY43_04090	AHX76563	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_04095	CY43_04095	AHX76564	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_04100	CY43_04100	AHX76565	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04105	CY43_04105	AHX76566	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CY43_04110	CY43_04110	AHX76567	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04115	CY43_04115	AHX76568	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04120	CY43_04120	AHX76569	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04125	CY43_04125	AHX76570	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04130	CY43_04130	AHX76571	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04135	CY43_04135	AHX76572	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_04140	CY43_04140	AHX76573	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04145	CY43_04145	AHX76574	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04150	CY43_04150	AHX76575	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04155	CY43_04155	AHX76576	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_04170	CY43_04170	AHX76579	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04175	CY43_04175	AHX76580	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04180	CY43_04180	AHX76581	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04235	CY43_04235	AHX76592	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_04240	CY43_04240	AHX76593	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_04245	CY43_04245	AHX76594	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_04250	CY43_04250	AHX76595	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_04255	CY43_04255	AHX76596	protein_coding	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0
CY43_04260	CY43_04260	AHX76597	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_04265	CY43_04265	AHX76598	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_04270	CY43_04270	AHX76599	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_04275	CY43_04275	AHX76600	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_04280	CY43_04280	AHX76601	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04295	CY43_04295	AHX76603	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_04300	CY43_04300	AHX76604	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_04310	CY43_04310	AHX76606	protein_coding	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
CY43_04330	CY43_04330	AHX76610	protein_coding	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
CY43_04335	CY43_04335	AHX76611	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_04340	CY43_04340	AHX76612	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_04345	CY43_04345	AHX76613	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
CY43_04350	CY43_04350	AHX76614	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_04355	CY43_04355	AHX76615	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04360	CY43_04360	AHX76616	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_04365	CY43_04365	AHX76617	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04370	CY43_04370	AHX76618	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04375	CY43_04375	AHX76619	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04380	CY43_04380	AHX76620	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04385	CY43_04385	AHX76621	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_04390	CY43_04390	AHX76622	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04395	CY43_04395	AHX76623	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04535	CY43_04535	AHX76646	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04540	CY43_04540	AHX76647	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04545	CY43_04545	AHX76648	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04550	CY43_04550	AHX76649	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_04555	CY43_04555	AHX76650	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04560	CY43_04560	AHX76651	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04575	CY43_04575	AHX76654	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04695	CY43_04695	AHX76677	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
CY43_04705	CY43_04705	AHX76679	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0
CY43_04710	CY43_04710	AHX76680	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0
CY43_04715	CY43_04715	AHX76681	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0
CY43_04725	CY43_04725	AHX76683	protein_coding	0	1	0	5	0	0	0	0	0	0	0	0	0	1	5
CY43_04730	CY43_04730	AHX76684	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6
CY43_04735	CY43_04735	AHX76685	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6
CY43_04740	CY43_04740	AHX76686	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0
CY43_04815	CY43_04815	AHX76701	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
CY43_04820	CY43_04820	AHX76702	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
CY43_04825	CY43_04825	AHX76703	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
CY43_04830	CY43_04830	AHX76704	protein_coding	0	2	3	0	0	0	0	3	0	0	0	0	0	2	0
CY43_04835	CY43_04835	AHX76705	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0
CY43_04850	CY43_04850	AHX76708	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
CY43_04900	CY43_04900	AHX76717	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04905	CY43_04905	AHX76718	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04910	CY43_04910	AHX76719	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04915	CY43_04915	AHX76720	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CY43_04925	CY43_04925	AHX76722	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04930	CY43_04930	AHX76723	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_04945	CY43_04945	AHX76726	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04950	CY43_04950	AHX76727	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04955	CY43_04955	AHX76728	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04970	CY43_04970	AHX76730	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_04975	CY43_04975	AHX76731	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04980	CY43_04980	AHX76732	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04985	CY43_04985	AHX76733	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_04990	CY43_04990	AHX76734	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_04995	CY43_04995	AHX76735	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05000	CY43_05000	AHX76736	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05005	CY43_05005	AHX76737	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_05025	CY43_05025	AHX76741	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05085	CY43_05085	AHX76753	protein_coding	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0
CY43_05090	CY43_05090	AHX76754	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_05095	CY43_05095	AHX76755	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_05100	CY43_05100	AHX76756	protein_coding	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0
CY43_05105	CY43_05105	AHX76757	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_05110	CY43_05110	AHX76758	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05115	CY43_05115	AHX76759	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05120	CY43_05120	AHX76760	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05235	CY43_05235	AHX76781	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05240	CY43_05240	AHX76782	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05245	CY43_05245	AHX76783	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05250	CY43_05250	AHX76784	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05255	CY43_05255	AHX76785	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05260	CY43_05260	AHX76786	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05265	CY43_05265	AHX76787	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05270	CY43_05270	AHX76788	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
CY43_05275	CY43_05275	AHX76789	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05280	CY43_05280	AHX76790	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05365	CY43_05365	AHX76804	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05370	CY43_05370	AHX76805	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05375	CY43_05375	AHX76806	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
CY43_05385	CY43_05385	AHX76807	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05390	CY43_05390	AHX76808	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05395	CY43_05395	AHX76809	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_05400	CY43_05400	AHX76810	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_05405	CY43_05405	AHX76811	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1
CY43_05415	CY43_05415	AHX76813	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05420	CY43_05420	AHX76814	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05425	CY43_05425	AHX76815	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05435	CY43_05435	AHX76817	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
CY43_05440	CY43_05440	AHX76818	protein_coding	0	1	0	3	0	3	0	0	0	0	0	0	0	1	0
CY43_05445	CY43_05445	AHX76819	protein_coding	0	0	2	2	0	1	0	2	0	0	0	0	0	0	1
CY43_05450	CY43_05450	AHX76820	protein_coding	0	0	0	4	0	1	0	0	0	0	0	0	0	0	3
CY43_05455	CY43_05455	AHX76821	protein_coding	0	0	0	4	0	1	0	0	0	0	0	0	0	0	3
CY43_05460	CY43_05460	AHX76822	protein_coding	0	0	0	4	0	3	0	0	0	0	0	0	0	0	1
CY43_05465	CY43_05465	AHX76823	protein_coding	0	1	0	3	0	3	0	0	0	0	0	0	0	1	0
CY43_05470	CY43_05470	AHX76824	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
CY43_05475	CY43_05475	AHX76825	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
CY43_05480	CY43_05480	AHX76826	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05485	CY43_05485	AHX76827	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CY43_05490	CY43_05490	AHX76828	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
CY43_05735	CY43_05735	AHX76874	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
CY43_05740	CY43_05740	AHX76875	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
CY43_05745	CY43_05745	AHX76876	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
CY43_05750	CY43_05750	AHX76877	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
CY43_05755	CY43_05755	AHX76878	protein_coding	0	0	2	1	0	0	0	2	0	0	0	0	0	0	1
CY43_05760	CY43_05760	AHX76879	protein_coding	0	1	0	2	0	2	0	0	0	0	0	0	0	1	0
CY43_05765	CY43_05765	AHX76880	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
CY43_05770	CY43_05770	AHX76881	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
